ProjectCode,ProjectName,ReportMonth,ActualOutcome,PredictedRisk,Feature,SHAPValue,Impact,Rank
400171,2G Ethanol Biorefinery at Bathinda,2026-04-01,0,0.1167,numeric__RobustCurrentGap,-0.083241,Decreases Risk,10
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,categorical__Agency_National Highways Authority of India [NHAI],-0.398533,Decreases Risk,1
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__Physical Progress,-0.263943,Decreases Risk,2
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__CurrentGapVsPreviousGap,0.203628,Increases Risk,3
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__RobustCurrentExpenditurePct,0.199778,Increases Risk,4
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__missingindicator_Prev_Expenditure,0.17513,Increases Risk,5
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__Prev_Expenditure,0.152293,Increases Risk,6
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__ProgressScheduleGap,-0.149554,Decreases Risk,7
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__PlannedDurationDays,-0.132524,Decreases Risk,8
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__ScheduleElapsedRatio,-0.132261,Decreases Risk,9
400171,2G Ethanol Biorefinery at Bathinda,2026-05-01,1,0.2097,numeric__Prev_ExpenditureRatio,-0.128873,Decreases Risk,10
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__HasPreviousRevisedDoc,-0.343477,Decreases Risk,1
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__PlannedDurationDays,-0.327215,Decreases Risk,2
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__RobustCurrentExpenditurePct,0.289317,Increases Risk,3
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__RobustCurrentGap,0.266318,Increases Risk,4
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,categorical__Agency_National Highways Authority of India [NHAI],-0.245359,Decreases Risk,5
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__CurrentExpenditureRatio,0.221374,Increases Risk,6
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__ProgressScheduleGap,-0.126455,Decreases Risk,7
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__RevisedCost,0.121903,Increases Risk,8
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__missingindicator_Prev_Expenditure,-0.121085,Decreases Risk,9
400178,DINESH[MAKARDHOKRA-III] OC,2026-04-01,0,0.1747,numeric__RemainingPlannedDays,-0.102261,Decreases Risk,10
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__Prev_RobustGap,-0.767519,Decreases Risk,1
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__PlannedDurationDays,-0.5097,Decreases Risk,2
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,categorical__Agency_National Highways Authority of India [NHAI],-0.437405,Decreases Risk,3
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__HasPreviousRevisedDoc,-0.288223,Decreases Risk,4
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__RobustCurrentExpenditurePct,0.228541,Increases Risk,5
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__CurrentExpenditureRatio,0.186456,Increases Risk,6
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__Prev_ExpenditureRatio,-0.16556,Decreases Risk,7
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__ProgressScheduleGap,-0.135055,Decreases Risk,8
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__RevisedCost,0.108692,Increases Risk,9
400178,DINESH[MAKARDHOKRA-III] OC,2026-05-01,1,0.0468,numeric__ElapsedDays,0.102972,Increases Risk,10
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__PlannedDurationDays,-0.423401,Decreases Risk,1
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__HasPreviousRevisedDoc,-0.344181,Decreases Risk,2
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__CurrentExpenditureRatio,0.303611,Increases Risk,3
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__OriginalCost,-0.173537,Decreases Risk,4
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__missingindicator_Prev_Expenditure,-0.160175,Decreases Risk,5
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,categorical__Agency_National Highways Authority of India [NHAI],-0.139878,Decreases Risk,6
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__RobustCurrentGap,-0.128583,Decreases Risk,7
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__Prev_RobustGap,-0.119691,Decreases Risk,8
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__RevisedCost,0.113936,Increases Risk,9
400183,BALARAM EXPANSION OCP,2026-04-01,0,0.0891,numeric__RemainingPlannedDays,0.097372,Increases Risk,10
400183,BALARAM EXPANSION OCP,2026-05-01,0,0.1474,numeric__PlannedDurationDays,-0.845813,Decreases Risk,1
